primary_key_s,id,sleep_day,total_sleep_records,total_minutes_asleep,total_time_in_bed,primary_key_d,id_1,activity_date,total_steps,total_distance,tracker_distance,logged_activities_distance,very_active_distance,moderately_active_distance,light_active_distance,sedentary_active_distance,very_active_minutes,fairly_active_minutes,lightly_active_minutes,sedentary_minutes,calories
1503960366_4/12/2016,1503960366,2016-04-12,1,327,346,1503960366_4/12/2016,1503960366,2016-04-12,13162,8.5,8.5,0.0,1.879999995,0.550000012,6.059999943,0.0,25,13,328,728,1985
1503960366_4/13/2016,1503960366,2016-04-13,2,384,407,1503960366_4/13/2016,1503960366,2016-04-13,10735,6.96999979,6.96999979,0.0,1.570000052,0.689999998,4.710000038,0.0,21,19,217,776,1797
1503960366_4/15/2016,1503960366,2016-04-15,1,412,442,1503960366_4/15/2016,1503960366,2016-04-15,9762,6.28000021,6.28000021,0.0,2.140000105,1.25999999,2.829999924,0.0,29,34,209,726,1745
1503960366_4/16/2016,1503960366,2016-04-16,2,340,367,1503960366_4/16/2016,1503960366,2016-04-16,12669,8.159999847,8.159999847,0.0,2.710000038,0.409999996,5.039999962,0.0,36,10,221,773,1863
1503960366_4/17/2016,1503960366,2016-04-17,1,700,712,1503960366_4/17/2016,1503960366,2016-04-17,9705,6.480000019,6.480000019,0.0,3.190000057,0.779999971,2.50999999,0.0,38,20,164,539,1728
1503960366_4/19/2016,1503960366,2016-04-19,1,304,320,1503960366_4/19/2016,1503960366,2016-04-19,15506,9.880000114,9.880000114,0.0,3.529999971,1.320000052,5.03000021,0.0,50,31,264,775,2035
1503960366_4/20/2016,1503960366,2016-04-20,1,360,377,1503960366_4/20/2016,1503960366,2016-04-20,10544,6.679999828,6.679999828,0.0,1.960000038,0.479999989,4.239999771,0.0,28,12,205,818,1786
1503960366_4/21/2016,1503960366,2016-04-21,1,325,364,1503960366_4/21/2016,1503960366,2016-04-21,9819,6.340000153,6.340000153,0.0,1.340000033,0.349999994,4.650000095,0.0,19,8,211,838,1775
1503960366_4/23/2016,1503960366,2016-04-23,1,361,384,1503960366_4/23/2016,1503960366,2016-04-23,14371,9.039999962,9.039999962,0.0,2.809999943,0.870000005,5.360000134,0.0,41,21,262,732,1949
1503960366_4/24/2016,1503960366,2016-04-24,1,430,449,1503960366_4/24/2016,1503960366,2016-04-24,10039,6.409999847,6.409999847,0.0,2.920000076,0.209999993,3.279999971,0.0,39,5,238,709,1788
1503960366_4/25/2016,1503960366,2016-04-25,1,277,323,1503960366_4/25/2016,1503960366,2016-04-25,15355,9.800000191,9.800000191,0.0,5.289999962,0.569999993,3.940000057,0.0,73,14,216,814,2013
1503960366_4/26/2016,1503960366,2016-04-26,1,245,274,1503960366_4/26/2016,1503960366,2016-04-26,13755,8.789999962,8.789999962,0.0,2.329999924,0.920000017,5.539999962,0.0,31,23,279,833,1970
1503960366_4/28/2016,1503960366,2016-04-28,1,366,393,1503960366_4/28/2016,1503960366,2016-04-28,13154,8.529999733,8.529999733,0.0,3.539999962,1.159999967,3.789999962,0.0,48,28,189,782,1898
1503960366_4/29/2016,1503960366,2016-04-29,1,341,354,1503960366_4/29/2016,1503960366,2016-04-29,11181,7.150000095,7.150000095,0.0,1.059999943,0.5,5.579999924,0.0,16,12,243,815,1837
1503960366_4/30/2016,1503960366,2016-04-30,1,404,425,1503960366_4/30/2016,1503960366,2016-04-30,14673,9.25,9.25,0.0,3.559999943,1.419999957,4.269999981,0.0,52,34,217,712,1947
1503960366_5/1/2016,1503960366,2016-05-01,1,369,396,1503960366_5/1/2016,1503960366,2016-05-01,10602,6.809999943,6.809999943,0.0,2.289999962,1.600000024,2.920000076,0.0,33,35,246,730,1820
1503960366_5/2/2016,1503960366,2016-05-02,1,277,309,1503960366_5/2/2016,1503960366,2016-05-02,14727,9.710000038,9.710000038,0.0,3.210000038,0.569999993,5.920000076,0.0,41,15,277,798,2004
1503960366_5/3/2016,1503960366,2016-05-03,1,273,296,1503960366_5/3/2016,1503960366,2016-05-03,15103,9.659999847,9.659999847,0.0,3.730000019,1.049999952,4.880000114,0.0,50,24,254,816,1990
1503960366_5/5/2016,1503960366,2016-05-05,1,247,264,1503960366_5/5/2016,1503960366,2016-05-05,14070,8.899999619,8.899999619,0.0,2.920000076,1.080000043,4.880000114,0.0,45,24,250,857,1959
1503960366_5/6/2016,1503960366,2016-05-06,1,334,367,1503960366_5/6/2016,1503960366,2016-05-06,12159,8.029999733,8.029999733,0.0,1.970000029,0.25,5.809999943,0.0,24,6,289,754,1896
1503960366_5/7/2016,1503960366,2016-05-07,1,331,349,1503960366_5/7/2016,1503960366,2016-05-07,11992,7.710000038,7.710000038,0.0,2.460000038,2.119999886,3.130000114,0.0,37,46,175,833,1821
1503960366_5/8/2016,1503960366,2016-05-08,1,594,611,1503960366_5/8/2016,1503960366,2016-05-08,10060,6.579999924,6.579999924,0.0,3.529999971,0.319999993,2.730000019,0.0,44,8,203,574,1740
1503960366_5/9/2016,1503960366,2016-05-09,1,338,342,1503960366_5/9/2016,1503960366,2016-05-09,12022,7.71999979,7.71999979,0.0,3.450000048,0.529999971,3.74000001,0.0,46,11,206,835,1819
1503960366_5/10/2016,1503960366,2016-05-10,1,383,403,1503960366_5/10/2016,1503960366,2016-05-10,12207,7.769999981,7.769999981,0.0,3.349999905,1.159999967,3.25999999,0.0,46,31,214,746,1859
1503960366_5/11/2016,1503960366,2016-05-11,1,285,306,1503960366_5/11/2016,1503960366,2016-05-11,12770,8.130000114,8.130000114,0.0,2.559999943,1.00999999,4.550000191,0.0,36,23,251,669,1783
1644430081_4/29/2016,1644430081,2016-04-29,1,119,127,1644430081_4/29/2016,1644430081,2016-04-29,3176,2.309999943,2.309999943,0.0,0.0,0.0,2.309999943,0.0,0,0,120,1193,2498
1644430081_4/30/2016,1644430081,2016-04-30,1,124,142,1644430081_4/30/2016,1644430081,2016-04-30,18213,13.23999977,13.23999977,0.0,0.629999995,3.140000105,9.460000038,0.0,9,71,402,816,3846
1644430081_5/2/2016,1644430081,2016-05-02,1,796,961,1644430081_5/2/2016,1644430081,2016-05-02,3758,2.730000019,2.730000019,0.0,0.07,0.310000002,2.349999905,0.0,1,7,148,682,2580
1644430081_5/8/2016,1644430081,2016-05-08,1,137,154,1644430081_5/8/2016,1644430081,2016-05-08,6724,4.889999866,4.889999866,0.0,0.0,0.0,4.880000114,0.0,0,0,295,991,2987
1844505072_4/15/2016,1844505072,2016-04-15,1,644,961,1844505072_4/15/2016,1844505072,2016-04-15,3844,2.539999962,2.539999962,0.0,0.0,0.0,2.539999962,0.0,0,0,176,527,1725
1844505072_4/30/2016,1844505072,2016-04-30,1,722,961,1844505072_4/30/2016,1844505072,2016-04-30,4014,2.670000076,2.670000076,0.0,0.0,0.0,2.650000095,0.0,0,0,184,218,1763
